Timestamp,SrcIP,DstIP,Proto,PPS,AI_Prob_Normal,AI_Prob_Attack,Verdict,Action,Reason
2026-01-22 19:14:14,10.0.0.5,10.0.0.6,17,105,0.80,0.20,WARNING,MONITOR,Elevated Traffic (104 pps)
2026-01-22 19:14:15,10.0.0.5,10.0.0.6,17,98,0.80,0.20,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:14:16,10.0.0.5,10.0.0.6,17,94,0.80,0.20,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:14:17,10.0.0.5,10.0.0.6,17,100,0.80,0.20,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:14:18,10.0.0.5,10.0.0.6,17,97,0.80,0.20,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:14:19,10.0.0.5,10.0.0.6,17,98,0.80,0.20,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:14:20,10.0.0.5,10.0.0.6,17,95,0.80,0.20,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:14:21,10.0.0.5,10.0.0.6,17,97,0.80,0.20,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:14:22,10.0.0.5,10.0.0.6,17,103,0.80,0.20,WARNING,MONITOR,Elevated Traffic (102 pps)
2026-01-22 19:14:23,10.0.0.5,10.0.0.6,17,94,0.80,0.20,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:14:24,10.0.0.5,10.0.0.6,17,102,0.75,0.25,WARNING,MONITOR,Elevated Traffic (101 pps)
2026-01-22 19:14:27,10.0.0.5,10.0.0.6,17,101,0.75,0.25,WARNING,MONITOR,Elevated Traffic (101 pps)
2026-01-22 19:14:29,10.0.0.5,10.0.0.6,17,96,0.75,0.25,WARNING,MONITOR,Elevated Traffic (96 pps)
2026-01-22 19:14:30,10.0.0.5,10.0.0.6,17,94,0.75,0.25,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:14:30,10.0.0.5,10.0.0.6,17,103,0.75,0.25,WARNING,MONITOR,Elevated Traffic (103 pps)
2026-01-22 19:14:31,10.0.0.5,10.0.0.6,17,98,0.75,0.25,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:14:32,10.0.0.5,10.0.0.6,17,98,0.75,0.25,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:14:34,10.0.0.5,10.0.0.6,17,95,0.75,0.25,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:14:34,10.0.0.5,10.0.0.6,17,101,0.75,0.25,WARNING,MONITOR,Elevated Traffic (101 pps)
2026-01-22 19:14:36,10.0.0.5,10.0.0.6,17,97,0.75,0.25,WARNING,MONITOR,Elevated Traffic (96 pps)
2026-01-22 19:14:37,10.0.0.5,10.0.0.6,17,94,0.75,0.25,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:14:38,10.0.0.5,10.0.0.6,17,100,0.70,0.30,WARNING,MONITOR,Elevated Traffic (100 pps)
2026-01-22 19:14:39,10.0.0.5,10.0.0.6,17,95,0.70,0.30,WARNING,MONITOR,Elevated Traffic (94 pps)
2026-01-22 19:14:40,10.0.0.5,10.0.0.6,17,100,0.70,0.30,WARNING,MONITOR,Elevated Traffic (99 pps)
2026-01-22 19:14:41,10.0.0.5,10.0.0.6,17,97,0.75,0.25,WARNING,MONITOR,Elevated Traffic (97 pps)
2026-01-22 19:14:42,10.0.0.5,10.0.0.6,17,92,0.75,0.25,WARNING,MONITOR,Elevated Traffic (91 pps)
2026-01-22 19:14:43,10.0.0.5,10.0.0.6,17,102,0.75,0.25,WARNING,MONITOR,Elevated Traffic (102 pps)
2026-01-22 19:14:44,10.0.0.5,10.0.0.6,17,97,0.75,0.25,WARNING,MONITOR,Elevated Traffic (96 pps)
2026-01-22 19:14:45,10.0.0.5,10.0.0.6,17,94,0.75,0.25,WARNING,MONITOR,Elevated Traffic (93 pps)
2026-01-22 19:14:46,10.0.0.5,10.0.0.6,17,102,0.75,0.25,WARNING,MONITOR,Elevated Traffic (102 pps)
2026-01-22 19:14:47,10.0.0.5,10.0.0.6,17,96,0.75,0.25,WARNING,MONITOR,Elevated Traffic (95 pps)
2026-01-22 19:14:48,10.0.0.5,10.0.0.6,17,95,0.75,0.25,WARNING,MONITOR,Elevated Traffic (95 pps)
2026-01-22 19:19:41,10.0.0.5,10.0.0.6,17,105,0.90,0.10,WARNING,ALERT,Elevated Traffic (104 pps)
2026-01-22 19:19:42,10.0.0.5,10.0.0.6,17,95,1.00,0.00,WARNING,ALERT,Elevated Traffic (94 pps)
2026-01-22 19:19:43,10.0.0.5,10.0.0.6,17,97,1.00,0.00,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:19:44,10.0.0.5,10.0.0.6,17,101,1.00,0.00,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:19:45,10.0.0.5,10.0.0.6,17,94,0.95,0.05,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:19:46,10.0.0.5,10.0.0.6,17,101,0.95,0.05,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:19:47,10.0.0.5,10.0.0.6,17,98,0.95,0.05,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:19:48,10.0.0.5,10.0.0.6,17,98,0.95,0.05,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:19:49,10.0.0.5,10.0.0.6,17,94,0.95,0.05,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:19:50,10.0.0.5,10.0.0.6,17,100,0.95,0.05,WARNING,ALERT,Elevated Traffic (100 pps)
